batsman,total_matches,total_runs,total_balls,strike_rate,avg_runs_per_match,runs_per_ball,batting_average,total_balls_bowled,total_runs_conceded,wickets,economy,win_rate_smooth
A Ashish Reddy,23,280,196,142.85714285714286,12.173913043478262,1.4285714285714286,18.666666666666668,270.0,400.0,19.0,8.88888888888889,0.47108613929423176
A Chopra,6,53,75,70.66666666666667,8.833333333333334,0.7066666666666667,8.833333333333334,0.0,0.0,0.0,0.0,0.5831377357388918
A Kumble,15,35,49,71.42857142857143,2.3333333333333335,0.7142857142857143,11.666666666666666,983.0,1089.0,49.0,6.646998982706002,0.1804577567583348
A Mishra,49,340,382,89.00523560209425,6.938775510204081,0.8900523560209425,11.724137931034482,2703.0,3305.0,142.0,7.336293007769146,0.19708153118557742
A Mithun,6,34,26,130.76923076923077,5.666666666666667,1.3076923076923077,6.8,312.0,477.0,8.0,9.173076923076923,0.3609155135166696
A Nehra,17,41,63,65.07936507936508,2.411764705882353,0.6507936507936508,5.857142857142857,1974.0,2537.0,121.0,7.711246200607903,0.16241198108250132
A Singh,5,2,10,20.0,0.4,0.2,0.5,486.0,639.0,31.0,7.888888888888889,0.1560299527062533
A Symonds,36,974,781,124.71190781049935,27.055555555555557,1.2471190781049937,36.074074074074076,540.0,694.0,23.0,7.711111111111111,0.49354460568333397
AA Bilakhia,7,69,88,78.4090909090909,9.857142857142858,0.7840909090909091,13.8,0.0,0.0,0.0,0.0,0.4248239621650026
AA Jhunjhunwala,15,217,218,99.54128440366972,14.466666666666667,0.9954128440366973,16.692307692307693,88.0,130.0,1.0,8.863636363636363,0.2915688678694459
AB Agarkar,18,179,160,111.875,9.944444444444445,1.11875,17.9,820.0,1174.0,33.0,8.590243902439024,0.15467807722142984
AB Dinda,16,26,50,52.0,1.625,0.52,2.6,1589.0,2103.0,82.0,7.940843297671491,0.06569682219210665
AB McDonald,9,123,103,119.41747572815534,13.666666666666666,1.1941747572815533,24.6,188.0,263.0,14.0,8.393617021276595,0.5206866351375022
AB de Villiers,118,3486,2402,145.12905911740216,29.54237288135593,1.4512905911740217,38.30769230769231,0.0,0.0,0.0,0.0,0.45659702166652916
AC Blizzard,7,120,91,131.86813186813185,17.142857142857142,1.3186813186813187,17.142857142857142,0.0,0.0,0.0,0.0,0.4248239621650026
AC Gilchrist,80,2069,1555,133.05466237942122,25.8625,1.3305466237942123,27.223684210526315,1.0,0.0,1.0,0.0,0.4487739713451811
AC Voges,7,181,143,126.57342657342657,25.857142857142858,1.2657342657342658,45.25,56.0,76.0,1.0,8.142857142857142,0.4248239621650026
AD Mascarenhas,11,79,79,100.0,7.181818181818182,1.0,8.777777777777779,310.0,365.0,19.0,7.064516129032258,0.3034456872607162
AD Mathews,41,724,599,120.86811352253756,17.658536585365855,1.2086811352253757,23.35483870967742,807.0,1095.0,28.0,8.141263940520446,0.2556418095829551
AD Russell,25,574,350,164.0,22.96,1.64,26.09090909090909,651.0,917.0,36.0,8.451612903225806,0.36600855791607234
AG Paunikar,5,49,61,80.32786885245902,9.8,0.8032786885245902,9.8,0.0,0.0,0.0,0.0,0.4060299527062533
AJ Finch,64,1604,1270,126.2992125984252,25.0625,1.262992125984252,27.1864406779661,44.0,67.0,1.0,9.136363636363637,0.3768393973380601
AL Menaria,23,401,367,109.26430517711172,17.434782608695652,1.0926430517711172,19.095238095238095,113.0,144.0,3.0,7.646017699115045,0.39416306237115484
AM Nayar,50,672,588,114.28571428571429,13.44,1.1428571428571428,17.68421052631579,239.0,323.0,9.0,8.108786610878662,0.3065705588990571
AM Rahane,105,3057,2602,117.48654880860876,29.114285714285714,1.1748654880860876,33.59340659340659,6.0,5.0,1.0,5.0,0.502298515015278
AN Ahmed,6,36,27,133.33333333333334,6.0,1.3333333333333333,36.0,362.0,515.0,15.0,8.535911602209945,0.3609155135166696
AP Tare,27,339,285,118.94736842105263,12.555555555555555,1.1894736842105262,14.125,0.0,0.0,0.0,0.0,0.3749413207216675
AR Patel,42,606,494,122.67206477732793,14.428571428571429,1.2267206477732793,20.2,1280.0,1584.0,61.0,7.425,0.33884976937000055
AS Raut,16,194,172,112.79069767441861,12.125,1.127906976744186,21.555555555555557,30.0,45.0,0.0,9.0,0.2762231379815803
AS Yadav,6,49,40,122.5,8.166666666666666,1.225,9.8,0.0,0.0,0.0,0.0,0.13869329129444738
AT Rayudu,105,2416,1964,123.0142566191446,23.00952380952381,1.230142566191446,27.146067415730336,0.0,0.0,0.0,0.0,0.5671133298300929
AUK Pathan,7,39,26,150.0,5.571428571428571,1.5,7.8,41.0,63.0,0.0,9.21951219512195,0.4248239621650026
Ankit Sharma,10,87,69,126.08695652173913,8.7,1.2608695652173914,12.428571428571429,369.0,442.0,12.0,7.186991869918699,0.09601843243461741
Anureet Singh,7,33,43,76.74418604651163,4.714285714285714,0.7674418604651163,8.25,406.0,594.0,19.0,8.77832512315271,0.12482396216500265
Azhar Mahmood,21,388,311,124.7588424437299,18.476190476190474,1.247588424437299,20.42105263157895,552.0,707.0,31.0,7.684782608695652,0.5103433175687511
B Akhil,11,76,57,133.33333333333334,6.909090909090909,1.3333333333333333,12.666666666666666,193.0,246.0,7.0,7.647668393782383,0.44630283011785904
B Chipli,21,280,256,109.375,13.333333333333334,1.09375,18.666666666666668,6.0,20.0,0.0,20.0,0.30200998423541775
B Kumar,33,158,160,98.75,4.787878787878788,0.9875,8.31578947368421,2054.0,2410.0,117.0,7.039922103213242,0.17356221171250075
B Lee,19,124,102,121.56862745098039,6.526315789473684,1.2156862745098038,12.4,916.0,1126.0,30.0,7.3755458515283845,0.3294654373477285
BA Stokes,11,316,227,139.20704845814979,28.727272727272727,1.3920704845814977,31.6,274.0,327.0,14.0,7.160583941605839,0.5891599729750018
BB McCullum,103,2755,2181,126.31820265933058,26.74757281553398,1.2631820265933058,28.112244897959183,0.0,0.0,0.0,0.0,0.5117758454872644
BB Samantray,8,125,116,107.75862068965517,15.625,1.0775862068965518,25.0,0.0,0.0,0.0,0.0,0.658930874695457
